IdIngredient,IngredientNameEN,IngredientNameFR,IngredientSynonymEN,IngredientSynonymFR,CategoryEN,CategoryFR,ContituentIngredientsEN,ContituentIngredientsFR
2101,Apple Sauce,Sauce aux pommes,apple-sauce,compote de pommes,Dish,Plat,"apple sauce, apple, lemon juice, sugar","compote de pommes, pomme, jus de citron, sucre"
164,Apricot,Abricot,apricot,abricot,Fruit,Fruits,Apricot,Abricot
419,Arabica coffee,Café Arabica,coffee-arabica,café-arabica,Beverage,Boisson,Arabica coffee,Café Arabica
96,Arar,Arar,arar,arar,Essential Oil,Huile essentielle,Arar,Arar
949,Arepa,Arepa,arepa,arepa,Dish,Assiette,Arepa,Arepa
14,Armagnac Brandy,Brandy d'armagnac,armagnac-brandy,armagnac-brandy,Beverage Alcoholic,Boissons alcoolisées,Armagnac Brandy,Brandy d'armagnac
8,Arrack,Arrack,arrack; arak,arrack ; arak,Beverage Alcoholic,Boissons alcoolisées,Arrack,Arrack
498,Arrowhead,Tête de flèche,arrowhead,tête de flèche,Vegetable,Légumes,Arrowhead,Tête de flèche
499,Arrowroot,Arrowroot (racine de flèche),arrowroot,arrowroot,Vegetable,Légumes,Arrowroot,Arrowroot (racine de flèche)
249,Artemisia,Artemisia,artemisia,artemisia,Herb,Herb,Artemisia,Artemisia
157,Artichoke,Artichauts,artichoke,artichaut,Flower,Fleur,Artichoke,Artichauts
376,Asafoetida,Asafoetida,asafoetida; asafetida; hing; asant,asafoetida ; asafetida ; hing ; asant,Spice,Épice,Asafoetida,Asafoetida
950,Ascidians,Ascidies,ascidians,ascidies,Seafood,Fruits de mer,Ascidians,Ascidies
377,Ashgourd,Courge cendrée,ash-gourd; white-gourd,cendre-courgeoise ; blanc-courgeoise,Vegetable,Légumes,Ashgourd,Courge cendrée
371,Asparagus,Asperge,asparagus,asperge,Vegetable,Légumes,Asparagus,Asperge
543,Atlantic croaker,Croak de l'Atlantique,#croaker-atlantic#,#croaker-atlantique#,Fish,Poisson,Atlantic croaker,Croak de l'Atlantique
680,Atlantic halibut,Flétan de l'Atlantique,#halibut-atlantic#,#halibut-atlantique#,Fish,Poisson,Atlantic halibut,Flétan de l'Atlantique
500,Atlantic herring,Hareng de l'Atlantique,#herring-atlantic#,#hareng-atlantique#,Fish,Poisson,Atlantic herring,Hareng de l'Atlantique
501,Atlantic mackerel,Maquereau de l'Atlantique,#mackerel-atlantic#,#mackerel-atlantique#,Fish,Poisson,Atlantic mackerel,Maquereau de l'Atlantique
716,Atlantic menhaden,Menhaden de l'Atlantique,menhaden,menhaden,Fish,Poisson,Atlantic menhaden,Menhaden de l'Atlantique
503,Atlantic pollock,Loup atlantique,#pollock-atlantic#,#pollock-atlantique#,Fish,Poisson,Atlantic pollock,Loup atlantique
631,Atlantic salmon,Saumon atlantique,#salmon-atlantic#,#saumon-atlantique#,Fish,Poisson,Atlantic salmon,Saumon atlantique
504,Atlantic wolffish,Loup atlantique,wolffish,loup de mer,Fish,Poisson,Atlantic wolffish,Loup atlantique
165,Avocado,Avocat,avocado,avocat,Fruit,Fruits,Avocado,Avocat
166,Babaco,Babaco,babaco,babaco,Fruit,Fruits,Babaco,Babaco
895,Babassu palm,Palmier babassu,palm-babassu,palme-babassu,Plant,Plante,Babassu palm,Palmier babassu
925,Bagel,Bagel,bagel,bagel,Bakery,Boulangerie,Bagel,Bagel
873,Baked potato,Pomme de terre au four,potato-baked,pomme de terre au four,Dish,Plat,Baked potato,Pomme de terre au four
2042,Baking Mix,Mélange à pâtisserie,baking mix,mélange à pâtisserie,Dish,Assiette,"flour, wheat, baking-powder, yeast, sugar, salt","farine, blé, levure, levure chimique, sucre, sel"
996,Baking Powder,Poudre à lever,baking powder; baking soda,poudre à pâte ; bicarbonate de soude,Additive,Additif,Baking Powder,Poudre à lever
505,Bamboo shoots,Pousses de bambou,bamboo-shoot,pousse de bambou,Plant,Plante,Bamboo shoots,Pousses de bambou
167,Banana,Banane,banana,banane,Fruit,Fruits,Banana,Banane
10,Bantu Beer,Bière bantoue,bantu-beer; kaffir-beer,bière bantoue ; bière kaffir,Beverage Alcoholic,Boissons alcoolisées,Bantu Beer,Bière bantoue
2040,Barbeque Sauce,Sauce barbecue,barbeque sauce,sauce barbecue,Dish,Assiette,"vinegar, tomato, tomato-paste, tomato-puree, mayonnaise, liquid-smoke, onion, mustard, pepper, sugar","vinaigre, tomate, pâte de tomate, purée de tomate, mayonnaise, fumée liquide, oignon, moutarde, poivre, sucre"
51,Barley,Orge,barley,orge,Cereal,Céréales,Barley,Orge
203,Bartlett Pear,Poire Bartlett,pear-barlett,poire-barlett,Fruit,Fruits,Bartlett Pear,Poire Bartlett
250,Basil,Basilic,basil,basilic,Herb,Herb,Basil,Basilic
404,Basmati Rice,Riz Basmati,basmati,basmati,Cereal,Céréales,Basmati Rice,Riz Basmati
460,Bayberry,Myrtille,bayberry,baie de laurier,Fruit,Fruit,Bayberry,Myrtille
284,Beans,Haricots,bean,haricot,Legume,Légumineuses,Beans,Haricots
2065,Bear,Ours,bear,ours,Meat,Viande,"bear-black, bear-brown, bear-polar","ours-noir, ours-brun, ours-polaire"
639,Bearded seal,Phoque barbu,#seal-bearded#,#phoque barbu#,Seafood,Fruits de mer,Bearded seal,Phoque barbu
507,Beaver,Castor,beaver,castor,Meat,Viande,Beaver,Castor
508,Beech nut,Noix de hêtre,nut-beech,noix-hêtre,Nuts & Seed,Noix et graines,Beech nut,Noix de hêtre
270,Beef,Bœuf,beef; steak; veal; sirloin,bœuf ; steak ; veau ; aloyau,Meat,Viande,Beef,Bœuf
271,Beef Processed,Bœuf transformé,beef-processed,bœuf transformé,Meat,Viande,Beef Processed,Bœuf transformé
691,Beefalo,Bœuf,beefalo,bœuf,Meat,Viande,Beefalo,Bœuf
9,Beer,Bière,beer; lager,bière ; lager,Beverage Alcoholic,Boissons alcoolisées,Beer,Bière
367,Beetroot,Betterave rouge,beetroot; beet,betterave ; betterave,Vegetable,Légumes,Beetroot,Betterave rouge
168,Beli,Beli,beli,beli,Fruit,Fruits,Beli,Beli
362,Bell Pepper,Capsicum,capsicum; paprika; pepper-bell; pepper-sweet,poivron ; paprika ; poivre en cloche ; poivre doux,Vegetable,Légumes,Capsicum,Capsicum
509,Beluga whale,Béluga,#whale-beluga#,#baleine-béluga,Fish,Poisson,Beluga whale,Béluga
236,Bergamot,Bergamote,bergamot,bergamote,Fruit,Fruits,Bergamot,Bergamote
759,Berry wine,Vin de baies,berry-wine,baies-vin,Beverage Alcoholic,Boissons alcoolisées,Berry wine,Vin de baies
221,Bilberry,Myrtille,bilberry,myrtille,Fruit,Fruits,Bilberry,Myrtille
33,Bilberry Wine,Vin de myrtille,bilberry-wine,vin de myrtille,Beverage Alcoholic,Boissons alcoolisées,Bilberry Wine,Vin de myrtille
485,Biscuit,Biscuit,biscuit,biscuit,Bakery,Boulangerie,Biscuit,Biscuit
510,Bison,Bison,bison,bison,Meat,Viande,Bison,Bison
225,Bitter Cherry,Cerise amère,cherry-choke; cherry-bitter,cerise-framboise ; cerise-amère,Fruit,Fruits,Bitter Cherry,Cerise amère
195,Bitter Orange,Orange amère,orange-bitter; orange-sour,orange-amère ; orange-aigre,Fruit,Fruits,Bitter Orange,Orange amère
378,Bittergourd,Courge amère,bitter-gourd; squash-bitter,amer-courgeoise ; amer de courge,Vegetable,Légumes,Bittergourd,Courge amère
693,Bivalvia,Bivalvia,bivalvia,bivalves,Seafood,Fruits de mer,Bivalvia,Bivalvia
511,Black bear,Ours noir,#bear-black#,#ours-noir,Meat,Viande,Black bear,Ours noir
422,Black crowberry,Corneille noire,crowberry-black,camarine noire,Fruit,Fruit,Black crowberry,Corneille noire
174,Black Currant,Groseille noire,currant-black,groseille noire,Fruit,Fruits,Black Currant,Groseille noire
425,Black huckleberry,Myrtille noire,huckleberry-black,myrtille-noire,Fruit,Fruit,Black huckleberry,Myrtille noire
435,Black mulberry,Mûrier noir,mulberry-black,mûrier-noir,Fruit,Fruit,Black mulberry,Mûrier noir
442,Black raspberry,Framboise noire,raspberry-black,framboise-noire,Fruit,Fruit,Black raspberry,Framboise noire
747,Black salsify,Salsifis noir,salsify-black,salsifis noir,Plant,Plante,Black salsify,Salsifis noir
48,Black Tea,Thé noir,tea-black,thé-noir,Beverage,Boisson,Black Tea,Thé noir
685,Black-eyed pea,Poison aux yeux noirs,pea-black-eyed,pois noir-yeux,Legume,Légumineuses,Black-eyed pea,Poison aux yeux noirs
222,Blackberry,Mûre,blackberry,mûre,Fruit,Fruits,Blackberry,Mûre
15,Blackberry Brandy,Brandy de mûre,blackberry-brandy,brandy-mûre,Beverage Alcoholic,Boissons alcoolisées,Blackberry Brandy,Brandy de mûre
63,Blue Cheese,Fromage bleu,cheese-blue,fromage-bleu,Dairy,Produits laitiers,Blue Cheese,Fromage bleu
721,Blue whiting,Merlan bleu,#whiting-blue#,#blanc-bleu#,Fish,Poisson,Blue whiting,Merlan bleu
223,Blueberry,Myrtille,blueberry,myrtille,Fruit,Fruits,Blueberry,Myrtille
514,Bluefish,Poisson bleu,bluefish,poisson bleu,Fish,Poisson,Bluefish,Poisson bleu
148,Bonito,Bonito,bonito,bonite,Fish,Poisson,Bonito,Bonito
413,Borage,Bourrache,borage,bourrache,Herb,Herbe,Borage,Bourrache
34,Botrytized Wine,Vin botrytisé,botrytized-wine,vin botrytisé,Beverage Alcoholic,Boissons alcoolisées,Botrytized Wine,Vin botrytisé
379,Bottlegourd,Gourmandise,bottle-gourd,bouteille-courgeoise,Vegetable,Végétale,Bottlegourd,Gourmandise
26,Bourbon Whisky,Whisky Bourbon,bourbon-whisky; bourbon-whiskey,bourbon-whisky ; bourbon-whiskey,Beverage Alcoholic,Boissons alcoolisées,Bourbon Whisky,Whisky Bourbon
516,Bowhead whale,Baleine boréale,#whale-bowhead#,#whale-bowhead#,Fish,Poisson,Bowhead whale,Baleine boréale
701,Boysenberry,Mûre de Boysen,boysenberry,mûre de Boysen,Fruit,Fruit,Boysenberry,Mûre de Boysen
11,Brandy,Brandy,brandy,eau-de-vie,Beverage Alcoholic,Boissons alcoolisées,Brandy,Brandy
282,Brazil Nut,Noix du Brésil,brazil-nut,brésilien-noisette,Nuts & Seed,Fruits à coque et graines,Brazil Nut,Noix du Brésil
2,Bread,Pain,bread; bun,pain ; brioche,Bakery,Boulangerie,Bread,Pain
517,Breadfruit,Fruit à pain,breadfruit,fruit à pain,Fruit,Fruit,Breadfruit,Fruit à pain
482,Breakfast cereal,Céréales pour petit-déjeuner,cereal,céréales,Cereal,Céréales,Breakfast cereal,Céréales pour petit-déjeuner
667,Broad whitefish,Corégone large,#whitefish-broad#,#poisson-blanc-rouge#,Fish,Poisson,Broad whitefish,Corégone large
351,Broccoli,Brocoli,broccoli; broccolini,brocoli ; broccolini,Vegetable,Légumes,Broccoli,Brocoli
520,Brown bear,Ours brun,#bear-brown#,#Ours brun,Meat,Viande,Brown bear,Ours brun
985,Brown Rice,Riz brun,rice-brown,riz brun,Cereal,Céréales,Brown Rice,Riz brun
352,Brussels Sprout,Chou de Bruxelles,brussels-sprout,chou de Bruxelles,Vegetable,Légumes,Brussels Sprout,Chou de Bruxelles
97,Buchu,Buchu,buchu,buchu,Essential Oil,Huile essentielle,Buchu,Buchu
251,Buckwheat,Sarrasin,buckwheat,sarrasin,Herb,Herb,Buckwheat,Sarrasin
521,Buffalo,Buffle,#buffalo#,#buffalo#,Meat,Viande,Buffalo,Buffle
2095,Buffalo,Buffle,buffalo,bison,Meat,Viande,"buffalo, meat","bison, viande"
463,Buffalo currant,Groseille à maquereau,currant-buffalo,groseille-buffle,Fruit,Fruit,Buffalo currant,Groseille à maquereau
865,Bulgur,Boulgour,bulgur,boulgour,Cereal,Céréales,Bulgur,Boulgour
522,Burbot,lotte,burbot,lotte,Fish,Poisson,Burbot,lotte
412,Burdock,Bardane,burdock,bardane,Vegetable,Légumes,Burdock,Bardane
831,Burrito,Burrito,burrito,burrito,Dish,Plats cuisinés,Burrito,Burrito
60,Butter,Beurre,butter,beurre,Dairy,Produits laitiers,Butter,Beurre
61,Buttermilk,Babeurre,buttermilk,babeurre,Dairy,Produits laitiers,Buttermilk,Babeurre
525,Butternut,Butternut,butternut,butternut,Nuts & Seed,Noix et graines,Butternut,Butternut
526,Butternut squash,Courge musquée,butternut-squash; butternut-pumpkin,courge musquée ; potiron musqué,Fruit,Fruits,Butternut squash,Courge musquée
169,Byrsonima crassifolia,Byrsonima crassifolia,byrsonima crassifolia; changunga; nanche; serette,byrsonima crassifolia ; changunga ; nanche ; serette,Fruit,Fruits,Byrsonima crassifolia,Byrsonima crassifolia
353,Cabbage,Chou,cabbage,chou,Vegetable,Légumes,Cabbage,Chou
98,Cajeput,Cajeput,cajeput,cajeput,Essential Oil,Huile essentielle,Cajeput,Cajeput
2026,Cajun Seasoning,Assaisonnement Cajun,cajun seasoning,assaisonnement cajun,Spice,Épice,"salt, cayenne, garlic, oregano, paprika, thyme, pepper, onion","sel, cayenne, ail, origan, paprika, thym, poivre, oignon"
768,Cake,Gâteau,cake,gâteau,Dish,Plat,Cake,Gâteau
2016,Cake Mix,Mélange de gâteaux,cake mix,mélange à gâteau,Dish,Plats,"flour, wheat, sugar, baking powder, salt","farine, blé, sucre, levure chimique, sel"
252,Calamus,Calamus,calamus,calamus,Herb,Herb,Calamus,Calamus
64,Camembert Cheese,Fromage Camembert,cheese-camembert,fromage-camembert,Dairy,Produits laitiers,Camembert Cheese,Fromage Camembert
99,Camphor,Camphre,camphor,camphre,Essential Oil,Huile essentielle,Camphor,Camphre
462,Canada blueberry,Myrtille du Canada,blueberry-canada,myrtille-canada,Fruit,Fruit,Canada blueberry,Myrtille du Canada
27,Canadian Whisky,Whisky canadien,canadian-whisky; canadian-whiskey,canadian-whisky ; canadian-whiskey,Beverage Alcoholic,Boissons alcoolisées,Canadian Whisky,Whisky canadien
2045,Candied Mixed Fruit,Mélange de fruits confits,candied mixed fruit,mélange de fruits confits,Fruit,Fruit,"raisin, apricot, date, currant, fig, sugar","raisin sec, abricot, datte, groseille, figue, sucre"
959,Candy bar,Barre chocolatée,candy bar,barre chocolatée,Bakery,Boulangerie,Candy bar,Barre chocolatée
380,Canola Oil,Huile de canola,canola-oil,huile de canola,Essential Oil,Huile essentielle,Canola Oil,Huile de canola
414,Capers,Câpres,caper,câpre,Herb,Herbe,Capers,Câpres
326,Caraway,Carvi,caraway,carvi,Spice,Épice,Caraway,Carvi
327,Cardamom,Cardamome,cardamom; cardamon,cardamome ; cardamone,Spice,Épice,Cardamom,Cardamome
527,Cardoon,Cardon,cardoon,cardon,Plant,Plante,Cardoon,Cardon
528,Caribou,Caribou,caribou,caribou,Meat,Viande,Caribou,Caribou
530,Carob,Caroube,carob,caroube,Plant,Plante,Carob,Caroube
381,Carom Seed,Graine de carome,carom seed; ajwain,graine de carome ; ajwain,Spice,Épice,Carom Seed,Graine de carome
722,Carp bream,Carpe d'eau douce,bream,brème,Fish,Poisson,Carp bream,Carpe d'eau douce
368,Carrot,Carotte,carrot,carotte,Vegetable,Légumes,Carrot,Carotte
100,Cascarilla,Cascarilla,cascarilla,cascarilla,Essential Oil,Huile essentielle,Cascarilla,Cascarilla
789,Casein,Caséine,casein,caséine,Additive,Additif,Casein,Caséine
170,Cashew Apple,Pomme de cajou,cashew-apple,noix de cajou-pomme,Fruit,Fruits,Cashew Apple,Pomme de cajou
411,Cashew nut,Noix de cajou,cashew; cashew-nut,noix de cajou ; noix de cajou-noix,Nuts & Seed,Noix et graines,Cashew nut,Noix de cajou
372,Cassava,Manioc,cassava,manioc,Vegetable,Légumes,Cassava,Manioc
328,Cassia,Cassia,cassia,cassia,Spice,Épice,Cassia,Cassia
753,Catfish,Poisson-chat,#catfish#,#poisson-chat,Fish,Poisson,Catfish,Poisson-chat
2096,Catfish,Poisson-chat,catfish,poisson-chat,Fish,Poisson,"catfish-channel, catfish","poisson-chat - canal, poisson-chat"
541,Catjang pea,Pois Catjang,pea-catjang,pois-catjang,Legume,Légumineuse,Catjang pea,Pois Catjang
354,Cauliflower,Chou-fleur,cauliflower,chou-fleur,Vegetable,Légumes,Cauliflower,Chou-fleur
149,Caviar,Caviar,caviar,caviar,Fish,Poisson,Caviar,Caviar
992,Cayenne,Cayenne,cayenne; chile powder; red chile; habanero; harissa; green chile; green chili; green chilli; green chily; red chily; red chili; red chilli,cayenne ; poudre de chile ; chile rouge ; habanero ; harissa ; chile vert ; chile vert ; chile vert ; chile vert ; chile vert ; chile rouge ; chile rouge ; chile rouge,Spice,Épice,Cayenne,Cayenne
101,Cedar,Cèdre,cedar,cèdre,Essential Oil,Huile essentielle,Cedar,Cèdre
329,Celery,Céleri,celery,céleri,Spice,Épice,Celery,Céleri
302,Ceriman,Ceriman,ceriman,ceriman,Plant,Plante,Ceriman,Ceriman
756,Cetacea,Cetacea,cetacea,cétacés,Fish,Poisson,Cetacea,Cetacea
2003,Chaat Masala,Chaat Masala,chaat masala,chaat masala,Spice,Épice,"asafoetida, mango, black salt, cayenne, garlic, ginger, sesame seed, black mustard seed oil, turmeric, coriander, bay laurel, anise, fennel","asafoetida, mangue, sel noir, cayenne, ail, gingembre, graines de sésame, huile de graines de moutarde noire, curcuma, coriandre, laurier, anis, fenouil"
102,Chamomile,Camomille,chamomile; camomile,camomille ; camomille,Essential Oil,Huile essentielle,Chamomile,Camomille
158,Champaca,Champaca,champaca,champaca,Flower,Fleur,Champaca,Champaca
35,Champagne,Champagne,champagne,champagne,Beverage Alcoholic,Boissons alcoolisées,Champagne,Champagne
532,Channel catfish,Chien-chat de rivière,#catfish-channel#,#carpe-canal#,Fish,Poisson,Channel catfish,Chien-chat de rivière
723,Chanterelle,Chanterelle,chanterelle,chanterelle,Fungus,Champignon,Chanterelle,Chanterelle
382,Chard,Bette à carde,chard,blette,Vegetable,Végétal,Chard,Bette à carde
725,Charr,Omble,charr,omble,Fish,Poisson,Charr,Omble
365,Chayote,Chayotte,chayote,chayotte,Vegetable,Légumes,Chayote,Chayotte
65,Cheddar Cheese,Fromage Cheddar,cheese-cheddar,fromage-cheddar,Dairy,Produits laitiers,Cheddar Cheese,Fromage Cheddar
62,Cheese,Fromage,cheese,fromage,Dairy,Produits laitiers,Cheese,Fromage
171,Cherimoya,Cherimoya,cherimoya; custard apple,cherimoya ; pomme de garde,Fruit,Fruits,Cherimoya,Cherimoya
224,Cherry,Cerise,cherry,cerise,Fruit,Fruits,Cherry,Cerise
16,Cherry Brandy,Brandy de cerise,brandy-cherry,brandy-cerise,Beverage Alcoholic,Boissons alcoolisées,Cherry Brandy,Brandy de cerise
363,Cherry Pepper,Poivron cerise,pimiento; cherry-pepper,pimiento ; cerise-poivre,Vegetable,Légumes,Cherry Pepper,Poivron cerise
446,Cherry tomato,Tomate cerise,cherry-tomato,cerise-tomate,Fruit,Fruit,Cherry tomato,Tomate cerise
253,Chervil,Cerfeuil,chervil,cerfeuil,Herb,Herbe,Chervil,Cerfeuil
416,Chestnut,Châtaigne,chestnut,châtaigne,Nuts & Seed,Noix et graines,Chestnut,Châtaigne
774,Chewing gum,Chewing-gum,chewing gum,chewing-gum,Dish,Plat,Chewing gum,Chewing-gum
533,Chia,Chia,chia,chia,Herb,Herbe,Chia,Chia
272,Chicken,Poulet,chicken,poulet,Meat,Viande,Chicken,Poulet
2010,Chicken Masala Powder,Poudre de poulet Masala,chicken masala powder,poudre de poulet masala,Spice,Épice,"bay laurel, ginger, cinnamon, clove, black pepper, coriander, fennel, cayenne","baie de laurier, gingembre, cannelle, clou de girofle, poivre noir, coriandre, fenouil, cayenne"
417,Chickpea,Pois chiche,pea-chick; besan; chickpea; kabuli chana; kala chana; garbanzo,pois chiche ; besan ; pois chiche ; kabuli chana ; kala chana ; garbanzo,Legume,Légumineuse,Chickpea,Pois chiche
303,Chicory,Chicorée,chicory,chicorée,Plant,Plante,Chicory,Chicorée
868,Chimichanga,Chimichanga,chimichanga,chimichanga,Dish,Plat,Chimichanga,Chimichanga
967,Chinese bayberry,Laurier chinois,bayberry-chinese,bayberry-chinois,Fruit,Fruit,Chinese bayberry,Laurier chinois
534,Chinese chestnut,Châtaigne chinoise,chestnut-chinese,châtaigne-chinoise,Nuts & Seed,Noix et graines,Chinese chestnut,Châtaigne chinoise
2052,Chinese Five Spice Powder,Poudre de cinq épices chinoises,chinese five spice,cinq épices chinoises,Spice,Épice,"cinnamon, anise-star, fennel, pepper, clove","cannelle, anis étoilé, fenouil, poivre, clou de girofle"
211,Chinese Quince,Coing chinois,quince-chinese,coing-chinois,Fruit,Fruits,Chinese Quince,Coing chinois
630,Chinook salmon,Le saumon Chinook,#salmon-chinook#,#saumon-chinook#,Fish,Poisson,Chinook salmon,Le saumon Chinook
343,Chive,Ciboulette,chive,ciboulette,Vegetable,Légumes,Chive,Ciboulette
817,Chocolate,Chocolat,chocolate,chocolat,Plant,Usine,Chocolate,Chocolat
945,Chocolate mousse,Mousse au chocolat,chocolate-mousse,mousse au chocolat,Bakery,Boulangerie,Chocolate mousse,Mousse au chocolat
806,Chocolate spread,Pâte à tartiner au chocolat,chocolate spread,pâte à tartiner au chocolat,Plant,Plante,Chocolate spread,Pâte à tartiner au chocolat
2005,Chole Masala,Chole Masala,chole masala,chole masala,Spice,Épice,"cayenne, garlic, ginger, roasted sesame seed, black mustard seed oil, turmeric, coriander bay laurel, anise, fennel","cayenne, ail, gingembre, graines de sésame grillées, huile de graines de moutarde noire, curcuma, laurier coriandre, anis, fenouil"
627,Chum salmon,Saumon kéta,#salmon-chum#,#salmon-chum#,Fish,Poisson,Chum salmon,Saumon kéta
826,Cichlidae,Cichlidae,cichlidae,cichlidés,Fish,Poisson,Cichlidae,Cichlidae
36,Cider,Cidre,cider,cidre,Beverage Alcoholic,Boissons alcoolisées,Cider,Cidre
2102,Cider Vinegar,Vinaigre de cidre,soy cream; soya cream,crème de soja ; crème de soja,Dish,Plat,"soy cream, soy milk, cooking oil, agave, cider vinegar","crème de soja, lait de soja, huile de cuisson, agave, vinaigre de cidre"
330,Cinnamon,Cannelle,cinnamon,cannelle,Spice,Épice,Cinnamon,Cannelle
536,Cisco,Cisco,#cisco#,#cisco#,Fish,Poisson,Cisco,Cisco
998,Citric Acid,Acide citrique,citric acid,acide citrique,Additive,Additif,Citric Acid,Acide citrique
103,Citronella Oil,Huile de citronnelle,citronella-oil,huile de citronnelle,Essential Oil,Huile essentielle,Citronella Oil,Huile de citronnelle
237,Citrus Fruits,Agrumes,citrus,agrume,Fruit,Fruits,Citrus Fruits,Agrumes
104,Citrus Peel Oil,Huile de zeste d'agrumes,citrus-peel-oil,huile d'écorce d'agrume,Essential Oil,Huile essentielle,Citrus Peel Oil,Huile de zeste d'agrumes
134,Clam,Palourde,clam,palourde,Seafood,Fruits de mer,Clam,Palourde
124,Clary Sage,Sauge sclarée,clary-sage,sauge sclarée,Essential Oil,Huile essentielle,Clary Sage,Sauge sclarée
